Description,earliest_invoicedate,latest_invoicedate,unique_invoice_months,sum_quantity
12 DAISY PEGS IN WOOD BOX,2009-12-02 10:00:00,2011-10-16 12:06:00,23,970
12 EGG HOUSE PAINTED WOOD,2009-12-01 11:41:00,2011-12-08 15:54:00,25,563
12 IVORY ROSE PEG PLACE SETTINGS,2009-12-03 16:54:00,2011-09-21 15:43:00,22,2798
12 PENCIL SMALL TUBE WOODLAND,2009-12-06 14:37:00,2011-12-09 10:03:00,22,10057
12 PENCILS SMALL TUBE SKULL,2009-12-01 12:47:00,2011-12-09 12:20:00,25,12899
12 PENCILS TALL TUBE POSY,2009-12-01 11:37:00,2011-10-17 12:50:00,23,5691
12 PENCILS TALL TUBE SKULLS,2009-12-01 11:37:00,2011-12-09 10:03:00,25,4899
12 PENCILS TALL TUBE WOODLAND,2009-12-01 12:47:00,2011-12-09 08:59:00,25,4703
12 RED ROSE PEG PLACE SETTINGS,2009-12-03 16:54:00,2011-12-08 19:28:00,25,1277
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2009-12-01 07:45:00,2011-12-09 10:26:00,22,2657
200 BENDY SKULL STRAWS,2009-12-09 14:02:00,2011-12-06 14:23:00,25,1272
200 RED + WHITE BENDY STRAWS,2009-12-01 11:45:00,2011-12-08 09:20:00,25,2195
3 GARDENIA MORRIS BOXED CANDLES,2009-12-01 17:08:00,2011-11-23 09:34:00,23,851
3 HEARTS HANGING DECORATION RUSTIC,2009-12-03 17:46:00,2011-12-08 16:30:00,22,9344
3 HOOK PHOTO SHELF ANTIQUE WHITE,2009-12-01 14:19:00,2011-12-09 11:26:00,25,3046
3 ROSE MORRIS BOXED CANDLES,2009-12-04 09:43:00,2011-12-07 12:41:00,22,1302
3 STRIPEY MICE FELTCRAFT,2010-02-28 12:30:00,2011-12-09 10:03:00,23,6515
36 PENCILS TUBE SKULLS,2009-12-01 12:57:00,2011-12-09 10:03:00,25,4145
36 PENCILS TUBE WOODLAND,2009-12-01 12:47:00,2011-11-07 17:42:00,24,3780
3D DOG PICTURE PLAYING CARDS,2009-12-01 14:28:00,2011-12-09 10:26:00,24,1322
3D SHEET OF CAT STICKERS,2009-12-01 16:17:00,2011-11-02 13:50:00,24,1263
3D SHEET OF DOG STICKERS,2009-12-01 12:57:00,2011-12-09 10:03:00,25,1418
4 IVORY DINNER CANDLES SILVER FLOCK,2009-12-01 12:14:00,2011-12-09 10:20:00,25,1447
4 LAVENDER BOTANICAL DINNER CANDLES,2009-12-01 12:33:00,2011-12-09 10:03:00,24,1187
4 LILY  BOTANICAL DINNER CANDLES,2009-12-02 12:06:00,2011-11-21 15:18:00,23,854
4 PEAR BOTANICAL DINNER CANDLES,2009-12-08 16:20:00,2011-12-09 10:03:00,24,1164
4 VANILLA BOTANICAL CANDLES,2009-12-01 12:33:00,2011-12-08 13:50:00,24,1139
4 WILDFLOWER BOTANICAL CANDLES,2009-12-01 12:33:00,2011-11-14 17:40:00,23,704
6 CHOCOLATE LOVE HEART T-LIGHTS,2009-12-01 12:57:00,2011-12-09 12:25:00,25,2905
6 EGG HOUSE PAINTED WOOD,2009-12-01 14:14:00,2011-12-08 15:54:00,25,1032
6 RIBBONS ELEGANT CHRISTMAS ,2009-12-01 11:45:00,2011-12-09 12:20:00,24,3372
6 RIBBONS EMPIRE  ,2009-12-01 11:45:00,2011-12-09 10:20:00,25,2380
6 RIBBONS RUSTIC CHARM,2009-12-01 11:45:00,2011-12-09 12:09:00,25,17445
6 RIBBONS SHIMMERING PINKS ,2009-12-03 15:20:00,2011-12-09 12:09:00,25,2153
60 TEATIME FAIRY CAKE CASES,2009-12-01 10:46:00,2011-12-09 10:03:00,25,54366
72 SWEETHEART FAIRY CAKE CASES,2009-12-01 13:19:00,2011-12-08 15:31:00,25,35028
75 GREEN FAIRY CAKE CASES,2009-12-02 11:34:00,2011-12-05 14:40:00,25,2194
75 GREEN PETIT FOUR CASES,2009-12-03 18:13:00,2011-12-09 12:20:00,25,1549
ABSTRACT CIRCLE JOURNAL ,2009-12-01 17:28:00,2011-11-27 11:47:00,24,1046
ABSTRACT CIRCLES POCKET BOOK,2009-12-01 12:22:00,2011-12-07 13:53:00,24,5440
ABSTRACT CIRCLES SKETCHBOOK ,2009-12-02 14:43:00,2011-12-08 09:20:00,25,688
AGED GLASS SILVER T-LIGHT HOLDER,2009-12-01 11:37:00,2011-12-09 11:56:00,25,18254
AIRLINE BAG VINTAGE JET SET BROWN,2010-02-14 12:22:00,2011-12-08 16:30:00,23,613
AIRLINE BAG VINTAGE JET SET RED,2010-02-14 11:57:00,2011-12-09 10:26:00,23,1037
AIRLINE BAG VINTAGE JET SET WHITE,2010-02-14 12:22:00,2011-12-08 09:28:00,23,548
AIRLINE BAG VINTAGE TOKYO 78,2010-02-12 15:38:00,2011-12-09 10:26:00,23,1858
AIRLINE BAG VINTAGE WORLD CHAMPION ,2010-02-11 11:24:00,2011-12-09 10:03:00,23,611
"AIRLINE LOUNGE,METAL SIGN",2009-12-01 11:21:00,2011-12-09 10:03:00,25,1230
ALPHABET HEARTS STICKER SHEET,2009-12-02 14:43:00,2011-12-05 17:28:00,25,899
ALPHABET STENCIL CRAFT,2010-03-24 13:15:00,2011-12-08 13:50:00,22,3946
ANIMAL STICKERS,2010-03-10 12:13:00,2011-12-07 12:41:00,22,3497
ANT COPPER LIME BOUDICCA BRACELET,2009-12-02 14:43:00,2011-12-08 09:28:00,23,170
ANT WHITE WIRE HEART SPIRAL,2009-12-01 11:37:00,2011-12-07 10:35:00,25,1777
ANTIQUE ALL GLASS CANDLESTICK,2009-12-01 14:28:00,2011-12-09 12:00:00,25,2360
ANTIQUE CREAM CUTLERY SHELF ,2009-12-08 14:56:00,2011-11-22 14:43:00,22,117
ANTIQUE SILVER TEA GLASS ENGRAVED,2009-12-02 09:57:00,2011-12-09 08:59:00,25,16161
APPLE BATH SPONGE,2009-12-01 12:32:00,2011-12-09 10:26:00,25,3636
AREA PATROLLED METAL SIGN,2009-12-01 09:06:00,2011-12-09 10:03:00,24,7508
"ART LIGHTS,FUNK MONKEY",2009-12-01 14:19:00,2011-12-08 15:54:00,24,657
ASS FLORAL PRINT SPIRIT LEVEL ,2009-12-08 13:59:00,2011-12-07 12:41:00,23,163
ASSORTED CIRCULAR MOBILE,2009-12-14 15:17:00,2011-12-09 12:00:00,23,1244
ASSORTED COLOUR BIRD ORNAMENT,2009-12-01 09:06:00,2011-12-09 12:31:00,25,81298
ASSORTED COLOUR MINI CASES,2009-12-01 09:28:00,2011-12-09 09:38:00,25,3143
ASSORTED COLOUR T-LIGHT HOLDER,2009-12-01 13:47:00,2011-12-08 09:28:00,25,7969
ASSORTED COLOURS SILK FAN,2009-12-01 16:05:00,2011-12-09 10:03:00,25,43436
ASSORTED CREEPY CRAWLIES,2009-12-04 16:45:00,2011-11-23 13:39:00,24,7423
"ASSORTED FLOWER COLOUR ""LEIS""",2009-12-06 11:58:00,2011-12-06 15:43:00,25,24729
ASSORTED INCENSE PACK,2009-12-02 11:51:00,2011-12-05 12:30:00,22,12137
ASSORTED MONKEY SUCTION CUP HOOK,2010-02-07 14:58:00,2011-12-01 19:42:00,22,1169
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,2009-12-01 17:08:00,2011-12-08 13:50:00,24,2269
ASSORTED TUTTI FRUTTI BRACELET,2009-12-01 12:13:00,2011-12-09 10:03:00,23,3234
ASSORTED TUTTI FRUTTI HEART BOX,2009-12-03 13:09:00,2011-11-27 16:27:00,23,1078
ASSORTED TUTTI FRUTTI KEYRING BALL,2009-12-02 14:36:00,2011-09-16 13:32:00,22,1674
ASSORTED TUTTI FRUTTI MIRROR,2009-12-01 14:28:00,2011-11-15 14:32:00,24,1522
ASSORTED TUTTI FRUTTI NOTEBOOK,2009-12-01 11:45:00,2011-12-08 13:50:00,22,1040
ASSORTED TUTTI FRUTTI PEN,2009-12-01 14:28:00,2011-12-09 10:03:00,24,4159
ASSORTED TUTTI FRUTTI SMALL PURSE,2009-12-01 14:28:00,2011-12-09 10:03:00,24,2741
ASSTD DESIGN RACING CAR PEN,2009-12-01 14:28:00,2011-12-06 16:26:00,25,4073
BABUSHKA LIGHTS STRING OF 10,2010-03-08 12:44:00,2011-12-08 10:53:00,22,1720
BABY BOOM RIBBONS ,2009-12-02 11:34:00,2011-09-26 12:45:00,22,2115
BAG 125g SWIRLY MARBLES,2009-12-02 10:52:00,2011-12-09 10:03:00,25,14626
BAG 250g SWIRLY MARBLES,2009-12-01 14:28:00,2011-12-09 10:03:00,25,16602
BAKING SET 9 PIECE RETROSPOT ,2009-12-01 09:28:00,2011-12-09 12:50:00,25,8520
BAKING SET SPACEBOY DESIGN,2010-03-14 16:18:00,2011-12-09 09:38:00,22,4145
BALLOONS  WRITING SET ,2009-12-01 14:28:00,2011-12-09 11:34:00,25,2535
BANQUET BIRTHDAY  CARD  ,2009-12-01 09:46:00,2011-12-09 10:03:00,25,4054
BASKET OF FLOWERS SEWING KIT,2009-12-02 13:23:00,2011-12-09 10:03:00,25,1837
BASKET OF TOADSTOOLS,2009-12-01 12:52:00,2011-12-08 13:50:00,25,1881
BATHROOM METAL SIGN,2009-12-01 09:50:00,2011-12-09 10:26:00,25,13105
BEADED CRYSTAL HEART GREEN SMALL,2009-12-15 13:40:00,2011-12-05 17:17:00,23,254
BEADED CRYSTAL HEART PINK LARGE,2009-12-02 14:36:00,2011-12-07 14:12:00,25,795
BEADED CRYSTAL HEART PINK SMALL,2009-12-01 14:28:00,2011-12-05 17:17:00,24,799
BEWARE OF THE CAT METAL SIGN ,2009-12-01 14:28:00,2011-12-07 10:35:00,25,9399
BIG DOUGHNUT FRIDGE MAGNETS,2009-12-01 12:18:00,2011-12-07 13:46:00,25,6349
BINGO SET,2009-12-01 09:46:00,2011-12-05 11:58:00,25,3485
BIRD HOUSE HOT WATER BOTTLE,2009-12-01 12:22:00,2011-12-09 10:23:00,25,2744
BIRDCAGE DECORATION TEALIGHT HOLDER,2010-01-11 08:53:00,2011-12-09 10:10:00,24,947
BIRDHOUSE DECORATION MAGIC GARDEN,2009-12-17 17:16:00,2011-12-08 16:30:00,25,1860
BIRDHOUSE GARDEN MARKER ,2010-03-05 10:37:00,2011-12-09 10:03:00,22,2782
BIRDS MOBILE VINTAGE DESIGN,2009-12-01 10:46:00,2011-12-08 19:28:00,25,579
BIRTHDAY BANQUET GIFT WRAP,2009-12-04 08:40:00,2011-12-05 15:51:00,24,2815
BISCUITS SMALL BOWL LIGHT BLUE,2009-12-01 09:06:00,2011-09-18 12:21:00,22,1544
BLACK BAROQUE WALL CLOCK ,2009-12-22 09:52:00,2011-12-05 17:24:00,24,114
BLACK CANDELABRA T-LIGHT HOLDER,2009-12-01 14:28:00,2011-10-14 11:08:00,23,2010
BLACK ENAMEL FLOWER RING,2009-12-02 14:36:00,2011-12-09 10:03:00,24,143
BLACK HEART CARD HOLDER,2009-12-14 17:57:00,2011-12-08 18:43:00,24,12479
BLACK LOVE BIRD CANDLE,2009-12-02 14:36:00,2011-12-08 09:28:00,23,483
BLACK MINI TAPE MEASURE ,2009-12-02 14:43:00,2011-12-06 14:23:00,24,1545
BLACK PIRATE TREASURE CHEST,2010-01-25 12:33:00,2011-12-09 11:34:00,24,1068
BLACK RECORD COVER FRAME,2009-12-01 18:35:00,2011-12-09 12:00:00,25,19931
BLACK SILOUETTE CANDLE PLATE,2009-12-06 12:42:00,2011-12-08 12:54:00,23,502
BLACK SWEETHEART BRACELET,2009-12-01 10:44:00,2011-12-08 09:28:00,24,182
BLACK TEA TOWEL CLASSIC DESIGN,2010-03-07 14:31:00,2011-12-09 12:31:00,22,1305
"BLACK TEA,COFFEE,SUGAR JARS",2009-12-06 10:57:00,2011-12-04 15:19:00,25,451
BLACK VINTAGE EARRINGS,2009-12-02 14:43:00,2011-11-30 15:13:00,23,108
BLOSSOM IMAGES GIFT WRAP SET,2010-01-22 14:17:00,2011-12-08 12:43:00,22,994
BLUE  DIAMANTE PEN IN GIFT BOX,2009-12-10 09:49:00,2011-12-06 12:56:00,23,424
BLUE  TILE HOOK,2010-01-07 19:34:00,2011-12-06 16:26:00,22,195
BLUE BIRDHOUSE DECORATION,2009-12-13 12:04:00,2011-12-08 14:53:00,24,941
BLUE CALCULATOR RULER,2009-12-02 11:52:00,2011-12-09 10:03:00,25,1251
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2009-12-01 10:49:00,2011-12-06 12:12:00,24,1762
BLUE DINER WALL CLOCK,2009-12-01 17:31:00,2011-12-08 18:03:00,23,1413
BLUE EGG  SPOON,2009-12-03 07:57:00,2011-12-08 16:30:00,24,2326
BLUE FLY SWAT,2009-12-01 14:28:00,2011-12-05 17:17:00,24,509
BLUE HAPPY BIRTHDAY BUNTING,2009-12-02 13:06:00,2011-12-06 16:26:00,24,4642
BLUE HARMONICA IN BOX ,2009-12-01 14:50:00,2011-12-09 12:16:00,24,13167
BLUE JUICY FRUIT PHOTO FRAME,2009-12-08 09:35:00,2011-11-24 09:21:00,24,362
BLUE MURANO TWIST BRACELET,2009-12-09 12:57:00,2011-12-09 10:03:00,22,108
BLUE OWL SOFT TOY,2009-12-02 11:55:00,2011-10-31 11:10:00,23,1096
BLUE PAISLEY JOURNAL ,2009-12-01 11:51:00,2011-12-06 14:35:00,25,812
BLUE PAISLEY NOTEBOOK,2009-12-01 11:51:00,2011-09-12 13:43:00,22,3356
BLUE PAISLEY SKETCHBOOK,2009-12-01 14:28:00,2011-12-07 12:21:00,25,466
BLUE PAISLEY TISSUE BOX,2009-12-18 14:08:00,2011-12-08 12:07:00,22,964
BLUE PARTY BAGS ,2010-01-11 09:53:00,2011-12-02 16:04:00,24,3362
BLUE POLKADOT KIDS BAG,2009-12-01 14:28:00,2011-12-09 10:03:00,25,577
BLUE POT PLANT CANDLE ,2009-12-07 16:40:00,2011-12-09 10:03:00,24,649
BLUE PUDDING SPOON,2009-12-07 13:59:00,2011-12-08 16:30:00,25,1444
BLUE ROSE FABRIC MIRROR,2009-12-01 12:47:00,2011-12-08 16:30:00,24,1167
BLUE SCANDINAVIAN PAISLEY WRAP,2009-12-01 14:40:00,2011-11-24 17:06:00,24,3225
BLUE SCOTTIE DOG W FLOWER PATTERN,2009-12-14 17:57:00,2011-12-05 17:28:00,25,276
BLUE SPOT CERAMIC DRAWER KNOB,2009-12-01 10:49:00,2011-12-09 11:34:00,25,8925
BLUE STRIPE CERAMIC DRAWER KNOB,2009-12-01 10:49:00,2011-12-09 11:34:00,23,10657
BLUE VICTORIAN FABRIC OVAL BOX,2009-12-01 16:34:00,2011-12-09 10:03:00,25,1813
BOHEMIAN COLLAGE STATIONERY SET,2009-12-02 14:36:00,2011-12-08 16:30:00,23,1106
BOOM BOX SPEAKER BOYS,2009-12-01 14:28:00,2011-12-09 10:03:00,25,900
BOOM BOX SPEAKER GIRLS,2009-12-02 14:43:00,2011-12-09 10:03:00,23,606
BOOZE & WOMEN GREETING CARD ,2009-12-01 14:28:00,2011-12-05 17:28:00,24,993
BOTANICAL LAVENDER BIRTHDAY CARD,2009-12-01 09:46:00,2011-12-09 10:03:00,25,1125
BOTANICAL LILY GREETING CARD,2009-12-03 12:10:00,2011-11-25 10:20:00,23,980
BOTANICAL ROSE GIFT WRAP,2009-12-04 08:40:00,2011-11-17 10:01:00,23,2815
BOTTLE BAG RETROSPOT ,2010-01-26 11:33:00,2011-12-08 09:28:00,24,3563
BOUDOIR SQUARE TISSUE BOX,2009-12-03 16:12:00,2011-12-08 19:26:00,25,2821
BOX OF 24 COCKTAIL PARASOLS,2009-12-02 10:52:00,2011-12-09 12:31:00,25,19260
BOX OF 9 PEBBLE CANDLES,2009-12-01 14:28:00,2011-11-07 12:06:00,24,1787
BOYS ALPHABET IRON ON PATCHES,2009-12-01 10:46:00,2011-12-09 10:03:00,25,20223
BOYS VINTAGE TIN SEASIDE BUCKET,2009-12-13 13:31:00,2011-12-09 10:03:00,25,3740
BRIGHT BLUES RIBBONS ,2009-12-01 11:58:00,2011-09-28 15:50:00,22,2380
BROCADE RING PURSE ,2009-12-01 16:17:00,2011-12-08 16:30:00,25,70690
BROWN  PIRATE TREASURE CHEST ,2010-01-25 11:18:00,2011-12-09 11:20:00,24,927
BROWN CHECK CAT DOORSTOP ,2009-12-01 12:14:00,2011-11-22 11:18:00,24,1315
BUNNY WOODEN PAINTED WITH BIRD ,2009-12-03 10:20:00,2011-12-08 12:57:00,24,1694
BUNNY WOODEN PAINTED WITH FLOWER ,2009-12-04 16:12:00,2011-12-05 12:30:00,22,955
BUTTERFLIES STICKERS,2009-12-02 14:43:00,2011-12-09 10:03:00,24,1817
BUTTERFLY CROCHET FOOD COVER,2009-12-02 14:06:00,2011-11-29 13:06:00,23,670
Bank Charges,2010-03-07 12:02:00,2011-12-07 12:45:00,22,-40
CACTI T-LIGHT CANDLES,2009-12-01 13:47:00,2011-12-02 12:43:00,25,15291
CAKE PLATE LOVEBIRD PINK,2009-12-04 09:27:00,2011-12-06 16:26:00,25,727
CAKE PLATE LOVEBIRD WHITE,2009-12-01 11:45:00,2011-12-08 16:30:00,25,1494
CAKE STAND 3 TIER MAGIC GARDEN,2009-12-10 10:17:00,2011-11-23 16:34:00,24,1046
CAKE STAND LOVEBIRD 2 TIER PINK,2009-12-17 13:15:00,2011-12-08 12:50:00,25,895
CAKE STAND LOVEBIRD 2 TIER WHITE,2009-12-02 15:51:00,2011-12-09 10:20:00,24,695
CAKE STAND VICTORIAN FILIGREE SMALL,2009-12-02 16:49:00,2011-12-09 09:46:00,25,567
CAKE STAND WHITE TWO TIER LACE,2009-12-01 13:31:00,2011-12-09 10:20:00,25,1036
CAKES AND BOWS GIFT  TAPE,2009-12-02 12:32:00,2011-12-04 11:45:00,25,1455
CAKES AND RABBITS DESIGN FLANNEL ,2009-12-07 18:02:00,2011-12-08 09:20:00,24,593
CAMOUFLAGE LED TORCH,2009-12-01 11:45:00,2011-12-09 10:03:00,25,6373
CAMPHOR WOOD PORTOBELLO MUSHROOM,2010-03-03 15:28:00,2011-12-09 10:03:00,22,586
CANDLE PLATE LACE WHITE,2009-12-01 16:44:00,2011-12-06 14:23:00,25,549
CANDY HEART HANGING DECORATION,2009-12-08 12:33:00,2011-12-01 11:51:00,24,1542
CANDY SHOP  STICKER SHEET,2009-12-01 14:28:00,2011-12-02 16:39:00,22,1138
CANDY SPOT CUSHION COVER,2009-12-04 12:28:00,2011-10-07 15:09:00,22,419
CANDY SPOT EGG WARMER HARE,2009-12-07 18:02:00,2011-11-03 16:56:00,22,1360
