Description,earliest_invoicedate,latest_invoicedate,unique_invoice_months,sum_quantity
12 EGG HOUSE PAINTED WOOD,2009-12-01 11:41:00,2011-12-08 15:54:00,25,563
12 PENCILS SMALL TUBE SKULL,2009-12-01 12:47:00,2011-12-09 12:20:00,25,12899
12 PENCILS TALL TUBE SKULLS,2009-12-01 11:37:00,2011-12-09 10:03:00,25,4899
12 PENCILS TALL TUBE WOODLAND,2009-12-01 12:47:00,2011-12-09 08:59:00,25,4703
12 RED ROSE PEG PLACE SETTINGS,2009-12-03 16:54:00,2011-12-08 19:28:00,25,1277
200 BENDY SKULL STRAWS,2009-12-09 14:02:00,2011-12-06 14:23:00,25,1272
200 RED + WHITE BENDY STRAWS,2009-12-01 11:45:00,2011-12-08 09:20:00,25,2195
3 HOOK PHOTO SHELF ANTIQUE WHITE,2009-12-01 14:19:00,2011-12-09 11:26:00,25,3046
36 PENCILS TUBE SKULLS,2009-12-01 12:57:00,2011-12-09 10:03:00,25,4145
3D SHEET OF DOG STICKERS,2009-12-01 12:57:00,2011-12-09 10:03:00,25,1418
4 IVORY DINNER CANDLES SILVER FLOCK,2009-12-01 12:14:00,2011-12-09 10:20:00,25,1447
6 CHOCOLATE LOVE HEART T-LIGHTS,2009-12-01 12:57:00,2011-12-09 12:25:00,25,2905
6 EGG HOUSE PAINTED WOOD,2009-12-01 14:14:00,2011-12-08 15:54:00,25,1032
6 RIBBONS EMPIRE  ,2009-12-01 11:45:00,2011-12-09 10:20:00,25,2380
6 RIBBONS RUSTIC CHARM,2009-12-01 11:45:00,2011-12-09 12:09:00,25,17445
6 RIBBONS SHIMMERING PINKS ,2009-12-03 15:20:00,2011-12-09 12:09:00,25,2153
60 TEATIME FAIRY CAKE CASES,2009-12-01 10:46:00,2011-12-09 10:03:00,25,54366
72 SWEETHEART FAIRY CAKE CASES,2009-12-01 13:19:00,2011-12-08 15:31:00,25,35028
75 GREEN FAIRY CAKE CASES,2009-12-02 11:34:00,2011-12-05 14:40:00,25,2194
75 GREEN PETIT FOUR CASES,2009-12-03 18:13:00,2011-12-09 12:20:00,25,1549
ABSTRACT CIRCLES SKETCHBOOK ,2009-12-02 14:43:00,2011-12-08 09:20:00,25,688
AGED GLASS SILVER T-LIGHT HOLDER,2009-12-01 11:37:00,2011-12-09 11:56:00,25,18254
"AIRLINE LOUNGE,METAL SIGN",2009-12-01 11:21:00,2011-12-09 10:03:00,25,1230
ALPHABET HEARTS STICKER SHEET,2009-12-02 14:43:00,2011-12-05 17:28:00,25,899
ANT WHITE WIRE HEART SPIRAL,2009-12-01 11:37:00,2011-12-07 10:35:00,25,1777
ANTIQUE ALL GLASS CANDLESTICK,2009-12-01 14:28:00,2011-12-09 12:00:00,25,2360
ANTIQUE SILVER TEA GLASS ENGRAVED,2009-12-02 09:57:00,2011-12-09 08:59:00,25,16161
APPLE BATH SPONGE,2009-12-01 12:32:00,2011-12-09 10:26:00,25,3636
ASSORTED COLOUR BIRD ORNAMENT,2009-12-01 09:06:00,2011-12-09 12:31:00,25,81298
ASSORTED COLOUR MINI CASES,2009-12-01 09:28:00,2011-12-09 09:38:00,25,3143
ASSORTED COLOUR T-LIGHT HOLDER,2009-12-01 13:47:00,2011-12-08 09:28:00,25,7969
ASSORTED COLOURS SILK FAN,2009-12-01 16:05:00,2011-12-09 10:03:00,25,43436
"ASSORTED FLOWER COLOUR ""LEIS""",2009-12-06 11:58:00,2011-12-06 15:43:00,25,24729
ASSTD DESIGN RACING CAR PEN,2009-12-01 14:28:00,2011-12-06 16:26:00,25,4073
BAG 125g SWIRLY MARBLES,2009-12-02 10:52:00,2011-12-09 10:03:00,25,14626
BAG 250g SWIRLY MARBLES,2009-12-01 14:28:00,2011-12-09 10:03:00,25,16602
BAKING SET 9 PIECE RETROSPOT ,2009-12-01 09:28:00,2011-12-09 12:50:00,25,8520
BALLOONS  WRITING SET ,2009-12-01 14:28:00,2011-12-09 11:34:00,25,2535
BANQUET BIRTHDAY  CARD  ,2009-12-01 09:46:00,2011-12-09 10:03:00,25,4054
BASKET OF FLOWERS SEWING KIT,2009-12-02 13:23:00,2011-12-09 10:03:00,25,1837
BASKET OF TOADSTOOLS,2009-12-01 12:52:00,2011-12-08 13:50:00,25,1881
BATHROOM METAL SIGN,2009-12-01 09:50:00,2011-12-09 10:26:00,25,13105
BEADED CRYSTAL HEART PINK LARGE,2009-12-02 14:36:00,2011-12-07 14:12:00,25,795
BEWARE OF THE CAT METAL SIGN ,2009-12-01 14:28:00,2011-12-07 10:35:00,25,9399
BIG DOUGHNUT FRIDGE MAGNETS,2009-12-01 12:18:00,2011-12-07 13:46:00,25,6349
BINGO SET,2009-12-01 09:46:00,2011-12-05 11:58:00,25,3485
BIRD HOUSE HOT WATER BOTTLE,2009-12-01 12:22:00,2011-12-09 10:23:00,25,2744
BIRDHOUSE DECORATION MAGIC GARDEN,2009-12-17 17:16:00,2011-12-08 16:30:00,25,1860
BIRDS MOBILE VINTAGE DESIGN,2009-12-01 10:46:00,2011-12-08 19:28:00,25,579
BLACK RECORD COVER FRAME,2009-12-01 18:35:00,2011-12-09 12:00:00,25,19931
"BLACK TEA,COFFEE,SUGAR JARS",2009-12-06 10:57:00,2011-12-04 15:19:00,25,451
BLUE CALCULATOR RULER,2009-12-02 11:52:00,2011-12-09 10:03:00,25,1251
BLUE PAISLEY JOURNAL ,2009-12-01 11:51:00,2011-12-06 14:35:00,25,812
BLUE PAISLEY SKETCHBOOK,2009-12-01 14:28:00,2011-12-07 12:21:00,25,466
BLUE POLKADOT KIDS BAG,2009-12-01 14:28:00,2011-12-09 10:03:00,25,577
BLUE PUDDING SPOON,2009-12-07 13:59:00,2011-12-08 16:30:00,25,1444
BLUE SCOTTIE DOG W FLOWER PATTERN,2009-12-14 17:57:00,2011-12-05 17:28:00,25,276
BLUE SPOT CERAMIC DRAWER KNOB,2009-12-01 10:49:00,2011-12-09 11:34:00,25,8925
BLUE VICTORIAN FABRIC OVAL BOX,2009-12-01 16:34:00,2011-12-09 10:03:00,25,1813
BOOM BOX SPEAKER BOYS,2009-12-01 14:28:00,2011-12-09 10:03:00,25,900
BOTANICAL LAVENDER BIRTHDAY CARD,2009-12-01 09:46:00,2011-12-09 10:03:00,25,1125
BOUDOIR SQUARE TISSUE BOX,2009-12-03 16:12:00,2011-12-08 19:26:00,25,2821
BOX OF 24 COCKTAIL PARASOLS,2009-12-02 10:52:00,2011-12-09 12:31:00,25,19260
BOYS ALPHABET IRON ON PATCHES,2009-12-01 10:46:00,2011-12-09 10:03:00,25,20223
